,precision,recall,f1-score,support
0,0.8916821598900655,0.49973950664824335,0.6405086443408963,44147.0
1,0.1392548133135864,0.571405725251879,0.22393532010905332,6253.0
accuracy,0.5086309523809524,0.5086309523809524,0.5086309523809524,0.5086309523809524
macro avg,0.515468486601826,0.5355726159500612,0.43222198222497477,50400.0
weighted avg,0.7983304099269162,0.5086309523809524,0.5888254499674496,50400.0
